Timestamp,Event
2025-04-02 21:32:35,Suspicious process detected: System Idle Process (PID: 0)
2025-04-02 21:32:35,Suspicious process detected: System (PID: 4)
2025-04-02 21:32:35,Suspicious process detected:  (PID: 108)
2025-04-02 21:32:36,Suspicious process detected: Registry (PID: 148)
2025-04-02 21:32:36,Suspicious process detected: taskhostw.exe (PID: 448)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 564)
2025-04-02 21:32:36,Suspicious process detected: smss.exe (PID: 628)
2025-04-02 21:32:36,Suspicious process detected: csrss.exe (PID: 652)
2025-04-02 21:32:36,Suspicious process detected: wininit.exe (PID: 744)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 764)
2025-04-02 21:32:36,Suspicious process detected: csrss.exe (PID: 948)
2025-04-02 21:32:36,Suspicious process detected: winlogon.exe (PID: 1064)
2025-04-02 21:32:36,Suspicious process detected: services.exe (PID: 1084)
2025-04-02 21:32:36,Suspicious process detected: Widgets.exe (PID: 1116)
2025-04-02 21:32:36,Suspicious process detected: LsaIso.exe (PID: 1128)
2025-04-02 21:32:36,Suspicious process detected: lsass.exe (PID: 1144)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1248)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1272)
2025-04-02 21:32:36,Suspicious process detected: fontdrvhost.exe (PID: 1300)
2025-04-02 21:32:36,Suspicious process detected: fontdrvhost.exe (PID: 1304)
2025-04-02 21:32:36,Suspicious process detected: WUDFHost.exe (PID: 1332)
2025-04-02 21:32:36,Suspicious process detected: sppsvc.exe (PID: 1376)
2025-04-02 21:32:36,Suspicious process detected: RuntimeBroker.exe (PID: 1400)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1452)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1496)
2025-04-02 21:32:36,Suspicious process detected: ctfmon.exe (PID: 1548)
2025-04-02 21:32:36,Suspicious process detected: WUDFHost.exe (PID: 1556)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1568)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1628)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1636)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1652)
2025-04-02 21:32:36,Suspicious process detected: RuntimeBroker.exe (PID: 1692)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1760)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1792)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1800)
2025-04-02 21:32:36,Suspicious process detected: SearchHost.exe (PID: 1924)
2025-04-02 21:32:36,Suspicious process detected: IntelCpHDCPSvc.exe (PID: 1928)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1936)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1944)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 1992)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2000)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2116)
2025-04-02 21:32:36,Suspicious process detected: LogonUI.exe (PID: 2168)
2025-04-02 21:32:36,Suspicious process detected: dwm.exe (PID: 2180)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2200)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2232)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2272)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2304)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2312)
2025-04-02 21:32:36,Suspicious process detected: igfxCUIServiceN.exe (PID: 2360)
2025-04-02 21:32:36,Suspicious process detected: ELAN_MOC_Service.exe (PID: 2480)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2500)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2536)
2025-04-02 21:32:36,Suspicious process detected: svchost.exe (PID: 2652)
